City_ID,City,Lat,Lng,Max Temp,Weather Description,Rain,Snow,Humidity,Cloudiness,Wind Speed,Country,Date
209,Deputatskiy,69.3,139.9,81.41,clear sky,0.0,0,27,0,8.48,RU,2020-06-19 01:48:27
210,Faya,18.39,42.45,69.8,broken clouds,0.0,0,56,64,3.49,SA,2020-06-19 01:48:27
211,Vrangel,42.73,133.08,55.24,overcast clouds,0.0,0,82,94,9.98,RU,2020-06-19 01:48:27
212,Sur,22.57,59.53,84.88,clear sky,0.0,0,65,0,7.74,OM,2020-06-19 01:48:27
213,Pisco,-13.7,-76.22,64.4,overcast clouds,0.0,0,82,90,11.41,PE,2020-06-19 01:48:27
214,Ust-Ishim,57.69,71.17,46.8,broken clouds,0.0,0,54,74,8.59,RU,2020-06-19 01:48:28
215,Chardara,41.25,67.97,72.05,clear sky,0.0,0,31,0,6.02,KZ,2020-06-19 01:48:28
216,Bathsheba,13.22,-59.52,82.4,few clouds,0.0,0,78,20,19.46,BB,2020-06-19 01:45:19
217,Thai Binh,20.45,106.33,87.8,scattered clouds,0.0,0,79,40,13.87,VN,2020-06-19 01:48:28
218,Beringovskiy,63.05,179.32,51.04,clear sky,0.0,0,54,4,4.14,RU,2020-06-19 01:48:28
219,Portland,45.52,-122.68,80.6,broken clouds,0.0,0,32,75,11.41,US,2020-06-19 01:46:52
220,Antofagasta,-23.65,-70.4,59.0,overcast clouds,0.0,0,82,90,4.7,CL,2020-06-19 01:48:29
221,Tuktoyaktuk,69.45,-133.04,44.6,few clouds,0.0,0,81,20,9.17,CA,2020-06-19 01:48:29
222,Brazzaville,-4.27,15.28,72.77,overcast clouds,0.0,0,63,100,0.78,CG,2020-06-19 01:48:29
223,Kisumu,-0.1,34.76,64.33,broken clouds,0.0,0,84,78,3.09,KE,2020-06-19 01:45:04
224,Arlit,18.74,7.39,90.52,clear sky,0.0,0,12,0,8.57,NE,2020-06-19 01:48:29
225,Leinfelden-Echterdingen,48.69,9.17,60.01,overcast clouds,0.0,0,77,99,2.24,DE,2020-06-19 01:48:30
226,Santa Elena,-2.23,-80.85,75.2,overcast clouds,0.0,0,83,100,11.41,EC,2020-06-19 01:48:30
227,Suntar,62.14,117.63,66.31,broken clouds,0.0,0,58,77,3.44,RU,2020-06-19 01:48:30
228,Lakes Entrance,-37.88,147.98,64.99,overcast clouds,0.0,0,59,98,1.99,AU,2020-06-19 01:48:30
229,La Joya,18.67,-99.47,76.64,scattered clouds,0.0,0,62,36,4.0,MX,2020-06-19 01:48:31
230,Komsomolskiy,40.43,71.72,66.2,clear sky,0.0,0,37,0,2.24,UZ,2020-06-19 01:45:10
231,Manhush,47.06,37.31,73.99,overcast clouds,0.0,0,100,100,14.0,UA,2020-06-19 01:48:31
232,Port Hedland,-20.32,118.57,73.4,clear sky,0.0,0,64,0,8.05,AU,2020-06-19 01:48:31
233,Sorland,67.67,12.69,47.93,clear sky,0.0,0,83,0,20.13,NO,2020-06-19 01:48:31
234,Piranshahr,36.7,45.14,58.82,clear sky,0.0,0,37,0,1.68,IR,2020-06-19 01:44:28
235,Partapur,23.6,74.17,85.28,overcast clouds,0.0,0,71,91,15.73,IN,2020-06-19 01:48:32
236,El Ermitano,20.21,-97.51,77.92,few clouds,0.0,0,85,14,4.7,MX,2020-06-19 01:48:32
237,Khasan,42.43,130.64,60.57,scattered clouds,0.0,0,76,43,7.81,RU,2020-06-19 01:48:33
238,Mehamn,71.04,27.85,43.09,light rain,0.12,0,78,100,24.07,NO,2020-06-19 01:48:33
239,Monrovia,6.3,-10.8,75.2,light rain,0.0,0,94,75,8.37,LR,2020-06-19 01:46:23
